City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Nhulunbuy,AU,2021-11-25 15:51:28,-12.2333,136.7667,81.21,78,90,0.0
251,Tessalit,ML,2021-11-25 15:51:29,20.1986,1.0114,87.35,19,19,8.84
252,Manokwari,ID,2021-11-25 15:51:29,-0.8667,134.0833,78.94,81,61,2.73
253,Srednekolymsk,RU,2021-11-25 15:51:29,67.45,153.6833,-34.01,100,41,4.23
254,Zelenikovo,MK,2021-11-25 15:51:30,41.8867,21.5869,48.25,76,75,5.75
255,Severo-Kurilsk,RU,2021-11-25 15:51:30,50.6789,156.125,34.45,84,82,4.56
256,Solnechnyy,RU,2021-11-25 15:51:30,50.7214,136.6319,24.13,95,100,6.55
257,Mmathubudukwane,BW,2021-11-25 15:51:31,-24.6,26.4333,81.46,34,0,14.07
258,Batemans Bay,AU,2021-11-25 15:51:31,-35.7167,150.1833,66.2,95,100,7.61
259,San Patricio,US,2021-11-25 15:51:31,28.017,-97.5169,76.86,69,90,8.05
260,Mount Kisco,US,2021-11-25 15:51:32,41.2043,-73.7271,51.51,49,40,5.01
261,Kavieng,PG,2021-11-25 15:51:32,-2.5744,150.7967,82.04,73,7,6.78
262,Gualeguay,AR,2021-11-25 15:49:48,-33.1416,-59.3097,70.88,86,86,8.97
263,Ancud,CL,2021-11-25 15:51:33,-41.8697,-73.8203,53.13,68,78,7.61
264,Turinsk,RU,2021-11-25 15:51:33,58.0458,63.696,6.85,96,30,6.15
265,Chicama,PE,2021-11-25 15:51:33,-7.8447,-79.1469,64.94,66,86,9.24
266,Broken Hill,AU,2021-11-25 15:51:34,-31.95,141.4333,62.31,88,90,19.57
267,Salisbury,GB,2021-11-25 15:46:37,51.0693,-1.7957,44.26,68,75,10.36
268,Tsaratanana,MG,2021-11-25 15:51:34,-16.7833,47.65,79.21,82,96,4.34
269,Thaba-Tseka,LS,2021-11-25 15:51:34,-29.522,28.6084,56.01,53,93,3.94
270,Victoria Point,AU,2021-11-25 15:51:35,-27.5833,153.3,75.11,97,100,1.99
271,Gama,ES,2021-11-25 15:51:35,42.748,-4.2068,36.79,92,100,9.33
272,Port Lincoln,AU,2021-11-25 15:51:36,-34.7333,135.8667,59.04,78,100,19.04
273,Puerto Escondido,MX,2021-11-25 15:52:36,15.85,-97.0667,84.09,57,0,2.71
274,Rafaela,AR,2021-11-25 15:52:36,-31.2503,-61.4867,82.0,51,0,25.61
275,Leningradskiy,RU,2021-11-25 15:52:37,69.3833,178.4167,-20.31,97,100,6.13
276,Kibuye,RW,2021-11-25 15:52:37,-2.0597,29.3482,64.74,86,99,2.68
277,Seymchan,RU,2021-11-25 15:52:38,62.8833,152.4333,-34.33,100,94,0.34
278,Manacapuru,BR,2021-11-25 15:52:38,-3.2997,-60.6206,81.18,49,51,1.39
279,Espinosa,BR,2021-11-25 15:52:38,-14.9261,-42.8192,87.78,31,98,10.13
280,Knysna,ZA,2021-11-25 15:52:39,-34.0363,23.0471,66.58,65,1,20.98
281,Hit,IQ,2021-11-25 15:52:39,33.6416,42.8251,66.34,45,100,6.82
282,Ugoofaaru,MV,2021-11-25 15:52:39,5.6667,73.0,80.98,74,100,4.76
283,Oistins,BB,2021-11-25 15:52:40,13.0667,-59.5333,82.49,100,20,11.5
284,Atbasar,KZ,2021-11-25 15:52:40,51.8,68.3333,-2.2,96,12,7.81
285,Nchelenge,ZM,2021-11-25 15:52:41,-9.3451,28.734,68.65,89,100,7.85
286,Blind River,CA,2021-11-25 15:52:41,46.1834,-82.9582,42.91,86,100,9.48
287,Khor,RU,2021-11-25 15:52:41,47.8861,134.9464,7.48,97,97,7.14
288,Heide,DE,2021-11-25 15:52:42,54.2,9.1,42.96,87,40,1.01
289,Medea,DZ,2021-11-25 15:52:42,36.2642,2.7539,50.45,84,95,17.72
290,Praia Da Vitoria,PT,2021-11-25 15:52:42,38.7333,-27.0667,64.76,88,75,29.24
291,Elizabeth City,US,2021-11-25 15:52:43,36.2946,-76.2511,53.02,53,1,8.99
